n_vertices,beta,order,beta_dim,sum_ground_truth,sum_recov,mean_rel_error,mean_rel_error_std,runtime_mean,runtime_std,runtime_min,runtime_max
8,1.0,1,2,0.9999999999999996,1.0000000000000193,3.4994805211494853e-13,5.719484412119552e-13,0.135645583,NaN,0.135645583,0.135645583
8,1.0,1,4,0.9999999999999996,0.9999999999999026,1.1169790859005177e-8,3.514469586204559e-8,0.132626333,NaN,0.132626333,0.132626333
8,1.0,1,6,0.9999999999999996,0.9999999999929042,1.530231475963868e-7,6.908570718050999e-7,0.133497,NaN,0.133497,0.133497
8,1.0,1,8,0.9999999999999996,1.0000000000101008,1.1840292537518899e-7,5.58312803445178e-7,0.126540334,NaN,0.126540334,0.126540334
8,1.0,1,10,0.9999999999999996,0.9999999998833967,2.929471568261259e-6,2.5409581505689846e-5,0.13608325,NaN,0.13608325,0.13608325
8,1.0,2,2,0.9999999999999998,1.1353788176558597,15.793113372473233,34.93896979686363,0.132218583,NaN,0.132218583,0.132218583
8,1.0,2,4,0.9999999999999998,1.0000000000000602,6.355531346934472e-11,1.561014420715367e-10,0.128761541,NaN,0.128761541,0.128761541
8,1.0,2,6,0.9999999999999998,0.999999999777067,7.869906789545386e-6,8.283184293892388e-5,0.126271125,NaN,0.126271125,0.126271125
8,1.0,2,8,0.9999999999999998,1.0000000010667345,4.764314711027649e-5,0.0001878541179473365,0.132653458,NaN,0.132653458,0.132653458
8,1.0,2,10,0.9999999999999998,1.0000000006274365,2.972819846885691e-5,0.00013107223505357362,0.13763525,NaN,0.13763525,0.13763525
8,1.0,3,2,0.9999999999999998,1.0988307842366887,124.99032568415096,1129.0930268393988,0.130287834,NaN,0.130287834,0.130287834
8,1.0,3,4,0.9999999999999998,1.0020515306762547,7334.271166310356,53970.81831032162,0.128364042,NaN,0.128364042,0.128364042
8,1.0,3,6,0.9999999999999998,1.0362626856387727,46168.25365435919,287760.3901300946,0.128919666,NaN,0.128919666,0.128919666
8,1.0,3,8,0.9999999999999998,1.0000000000002458,4.450512111100536e-7,1.6286983694962206e-6,0.132341083,NaN,0.132341083,0.132341083
8,1.0,3,10,0.9999999999999998,1.0000000001808573,3.4948005523534475e-5,0.0002481146870418957,0.131186125,NaN,0.131186125,0.131186125
8,1.0,4,2,1.0000000000000002,1.0513095472204241,849.247687156562,7782.123507212693,0.12924225,NaN,0.12924225,0.12924225
8,1.0,4,4,1.0000000000000002,1.0070870825795428,4747.170863320786,48346.46571680289,0.129340541,NaN,0.129340541,0.129340541
8,1.0,4,6,1.0000000000000002,0.9995025203885556,399.2807239290175,1935.2415600804843,0.130390458,NaN,0.130390458,0.130390458
8,1.0,4,8,1.0000000000000002,1.0002219630624594,245.5976217429135,1996.7874960702925,0.130942875,NaN,0.130942875,0.130942875
8,1.0,4,10,1.0000000000000002,1.0000112671794206,204.3996962479019,899.5128915990947,0.128786,NaN,0.128786,0.128786
8,1.0,5,2,1.0,1.048019308728557,2659.567889723342,21927.669942888882,0.13219625,NaN,0.13219625,0.13219625
8,1.0,5,4,1.0,1.0038572985602505,2244.0031007853404,13707.061739554136,0.129711417,NaN,0.129711417,0.129711417
8,1.0,5,6,1.0,1.0002140189892976,2166.5304052333026,12404.144535573994,0.12801475,NaN,0.12801475,0.12801475
8,1.0,5,8,1.0,0.9999076458923005,400.3065394943516,1930.697131637353,0.129174,NaN,0.129174,0.129174
8,1.0,5,10,1.0,0.9999992084291726,80.64607830866554,374.91623867842156,0.131749416,NaN,0.131749416,0.131749416
8,1.0,6,2,0.9999999999999999,1.048764814789043,69303.743090762,735306.6435962094,0.130018709,NaN,0.130018709,0.130018709
8,1.0,6,4,0.9999999999999999,1.0020894271367635,79180.65477041864,927801.2259295862,0.128886292,NaN,0.128886292,0.128886292
8,1.0,6,6,0.9999999999999999,1.000016415532344,10987.333185220297,102274.5930274193,0.130890125,NaN,0.130890125,0.130890125
8,1.0,6,8,0.9999999999999999,0.9999999999949298,0.00020198133003881188,0.0018112683998656432,0.128611542,NaN,0.128611542,0.128611542
8,1.0,6,10,0.9999999999999999,0.9999999908891556,0.27195173847308923,1.2545302363821624,0.131896667,NaN,0.131896667,0.131896667
8,1.0,7,2,0.9999999999999996,1.0485473687360283,505327.40648679086,5.386506457834376e6,0.1310735,NaN,0.1310735,0.1310735
8,1.0,7,4,0.9999999999999996,1.0009963508727973,324887.30121239874,4.529769841740493e6,0.128247042,NaN,0.128247042,0.128247042
8,1.0,7,6,0.9999999999999996,1.0000000005342744,0.0024117790055277126,0.020314724804374126,0.126815625,NaN,0.126815625,0.126815625
8,1.0,7,8,0.9999999999999996,1.0000000000113816,0.0013652128566717459,0.014154443807578056,0.128989958,NaN,0.128989958,0.128989958
8,1.0,7,10,0.9999999999999996,1.0000000000624027,0.003555183162499835,0.031136923503096468,0.132501875,NaN,0.132501875,0.132501875
