topology,percentage,runtime
BinaryTree,90.0,0.6523059166666666
BinaryTree,80.0,0.5795889726666666
BinaryTree,70.0,0.5115279856666667
BinaryTree,60.0,0.4375327776666667
BinaryTree,50.0,0.37107744433333334
BinaryTree,40.0,0.3011213886666667
BinaryTree,30.000000000000004,0.22098859733333334
BinaryTree,19.999999999999996,0.14490519433333335
BinaryTree,9.999999999999998,0.07558129166666668
Linear,90.0,0.5238043473333334
Linear,80.0,0.462526264
Linear,70.0,0.4190172776666667
Linear,60.0,0.328366875
Linear,50.0,0.2797860836666667
Linear,40.0,0.22888644466666666
Linear,30.000000000000004,0.16469558333333334
Linear,19.999999999999996,0.11440390266666667
Linear,9.999999999999998,0.05407923566666666
